id,title,source_ai,branch_name,pr_url,status,project_decision,dev_stage,spec_stage,pr_status,processing,created_at,next_action
2567,Innovation improvement executor 5bc4ab,innovation_engine,dev/innovation-executor-5bc4ab,https://github.com/douyo01-byte/openclaw-factory/pull/2333,closed,execute_now,closed,decomposed,open,0,2026-03-14 22:49:54,review
2568,Innovation improvement ai 141534,innovation_engine,dev/innovation-ai-141534,https://github.com/douyo01-byte/openclaw-factory/pull/2329,closed,execute_now,closed,decomposed,open,0,2026-03-14 22:49:54,review
2569,Innovation improvement self_improve ebf5ea,innovation_engine,dev/innovation-self-improve-ebf5ea,https://github.com/douyo01-byte/openclaw-factory/pull/2328,closed,execute_now,closed,decomposed,open,0,2026-03-14 22:49:54,review
2571,Innovation improvement executor fb7901,innovation_engine,dev/innovation-executor-fb7901,https://github.com/douyo01-byte/openclaw-factory/pull/2325,closed,execute_now,closed,decomposed,open,0,2026-03-14 22:50:09,review
2572,Innovation improvement ai 60189c,innovation_engine,dev/innovation-ai-60189c,https://github.com/douyo01-byte/openclaw-factory/pull/2323,closed,execute_now,closed,decomposed,open,0,2026-03-14 22:50:09,review
2573,Innovation improvement self_improve c3e28d,innovation_engine,dev/innovation-self-improve-c3e28d,https://github.com/douyo01-byte/openclaw-factory/pull/2322,closed,execute_now,closed,decomposed,open,0,2026-03-14 22:50:09,review
2576,Innovation improvement executor 1651e5,innovation_engine,dev/innovation-executor-1651e5,https://github.com/douyo01-byte/openclaw-factory/pull/2320,closed,execute_now,closed,decomposed,open,0,2026-03-14 22:51:32,review
2577,Innovation improvement ai 246752,innovation_engine,dev/innovation-ai-246752,https://github.com/douyo01-byte/openclaw-factory/pull/2319,closed,execute_now,closed,decomposed,open,0,2026-03-14 22:51:32,review
2578,Innovation improvement self_improve e8aa68,innovation_engine,dev/innovation-self-improve-e8aa68,https://github.com/douyo01-byte/openclaw-factory/pull/2318,open,execute_now,open,decomposed,open,0,2026-03-14 22:51:32,review
2590,Innovation improvement executor b04a3e,innovation_engine,dev/innovation-executor-b04a3e,https://github.com/douyo01-byte/openclaw-factory/pull/2314,open,execute_now,open,decomposed,open,0,2026-03-14 23:01:32,review
2591,Innovation improvement ai d1c95b,innovation_engine,dev/innovation-ai-d1c95b,https://github.com/douyo01-byte/openclaw-factory/pull/2315,open,execute_now,open,decomposed,open,0,2026-03-14 23:01:32,review
2592,Innovation improvement self_improve 742e2a,innovation_engine,dev/innovation-self-improve-742e2a,https://github.com/douyo01-byte/openclaw-factory/pull/2310,open,execute_now,open,decomposed,open,0,2026-03-14 23:01:32,review
2600,Innovation improvement executor 24945f,innovation_engine,dev/innovation-executor-24945f,https://github.com/douyo01-byte/openclaw-factory/pull/2313,open,execute_now,open,decomposed,open,0,2026-03-14 23:11:32,review
2601,Innovation improvement ai ea22aa,innovation_engine,dev/innovation-ai-ea22aa,https://github.com/douyo01-byte/openclaw-factory/pull/2312,open,execute_now,open,decomposed,open,0,2026-03-14 23:11:32,review
2602,Innovation improvement self_improve 6ef47c,innovation_engine,dev/innovation-self-improve-6ef47c,https://github.com/douyo01-byte/openclaw-factory/pull/2311,open,execute_now,open,decomposed,open,0,2026-03-14 23:11:32,review
2605,Innovation improvement executor e5d3e9,innovation_engine,dev/innovation-executor-e5d3e9,https://github.com/douyo01-byte/openclaw-factory/pull/2326,open,execute_now,open,decomposed,open,0,2026-03-14 23:21:32,review
2606,Innovation improvement ai 97b872,innovation_engine,dev/innovation-ai-97b872,https://github.com/douyo01-byte/openclaw-factory/pull/2332,open,execute_now,open,decomposed,open,0,2026-03-14 23:21:32,review
2607,Innovation improvement self_improve ef7b6f,innovation_engine,dev/innovation-self-improve-ef7b6f,https://github.com/douyo01-byte/openclaw-factory/pull/2331,open,execute_now,open,decomposed,open,0,2026-03-14 23:21:32,review
2610,Innovation improvement executor 49db88,innovation_engine,dev/innovation-executor-49db88,https://github.com/douyo01-byte/openclaw-factory/pull/2337,open,execute_now,open,decomposed,open,0,2026-03-14 23:26:27,review
2611,Innovation improvement ai 75fb31,innovation_engine,dev/innovation-ai-75fb31,https://github.com/douyo01-byte/openclaw-factory/pull/2336,open,execute_now,open,decomposed,open,0,2026-03-14 23:26:27,keep
2612,Innovation improvement self_improve adb0e9,innovation_engine,dev/innovation-self-improve-adb0e9,https://github.com/douyo01-byte/openclaw-factory/pull/2335,open,execute_now,open,decomposed,open,0,2026-03-14 23:26:27,keep
2618,Innovation improvement executor a6da08,innovation_engine,dev/batch-2618-2621,https://github.com/douyo01-byte/openclaw-factory/pull/2341,open,execute_now,open,refined,open,0,2026-03-14 23:36:28,keep
2619,Innovation improvement ai cf2490,innovation_engine,dev/batch-2618-2621,https://github.com/douyo01-byte/openclaw-factory/pull/2341,open,execute_now,open,refined,open,0,2026-03-14 23:36:28,keep
2624,Innovation improvement executor 077e49,innovation_engine,dev/batch-2624-2627,https://github.com/douyo01-byte/openclaw-factory/pull/2344,open,execute_now,open,refined,open,0,2026-03-14 23:46:28,keep
2625,Innovation improvement ai 9ca8ba,innovation_engine,dev/batch-2624-2627,https://github.com/douyo01-byte/openclaw-factory/pull/2344,open,execute_now,open,refined,open,0,2026-03-14 23:46:28,keep
2631,Innovation improvement executor 7a9684,innovation_engine,dev/batch-2630-2632,https://github.com/douyo01-byte/openclaw-factory/pull/2347,open,execute_now,open,raw,open,0,2026-03-14 23:57:01,keep
2632,Innovation improvement ai fbe793,innovation_engine,dev/batch-2630-2632,https://github.com/douyo01-byte/openclaw-factory/pull/2347,open,execute_now,open,raw,open,0,2026-03-14 23:57:01,keep
2570,Strategy innovation executor 61c20c,strategy_engine,dev/strategy-executor-61c20c,https://github.com/douyo01-byte/openclaw-factory/pull/2327,closed,execute_now,closed,decomposed,open,0,2026-03-14 22:49:54,keep
2574,Strategy innovation executor 9dd397,strategy_engine,dev/strategy-executor-9dd397,https://github.com/douyo01-byte/openclaw-factory/pull/2321,closed,execute_now,closed,decomposed,open,0,2026-03-14 22:50:19,keep
2579,Strategy innovation executor 6836e6,strategy_engine,dev/strategy-executor-6836e6,https://github.com/douyo01-byte/openclaw-factory/pull/2317,open,execute_now,open,decomposed,open,0,2026-03-14 22:51:42,keep
2598,Strategy innovation executor 786fc6,strategy_engine,dev/strategy-executor-786fc6,https://github.com/douyo01-byte/openclaw-factory/pull/2309,open,execute_now,open,decomposed,open,0,2026-03-14 23:06:42,keep
2608,Strategy innovation executor 5db41d,strategy_engine,dev/strategy-executor-5db41d,https://github.com/douyo01-byte/openclaw-factory/pull/2330,open,execute_now,open,decomposed,open,0,2026-03-14 23:21:42,keep
2614,Strategy innovation executor 297672,strategy_engine,dev/strategy-executor-297672,https://github.com/douyo01-byte/openclaw-factory/pull/2338,open,execute_now,open,decomposed,open,0,2026-03-14 23:26:27,keep
2622,Strategy innovation executor 646eb6,strategy_engine,dev/batch-2622-2623,https://github.com/douyo01-byte/openclaw-factory/pull/2343,open,execute_now,open,refined,open,0,2026-03-14 23:41:28,keep
2630,Strategy innovation executor cd93f4,strategy_engine,dev/batch-2630-2632,https://github.com/douyo01-byte/openclaw-factory/pull/2347,open,execute_now,open,raw,open,0,2026-03-14 23:57:01,keep
2615,🧠 Kaikun04 CTOレビュー,cto,dev/batch-2615-2615,https://github.com/douyo01-byte/openclaw-factory/pull/2339,open,execute_now,open,refined,open,0,2026-03-14 23:28:57,keep
2617,🧠 Kaikun04 CTOレビュー,cto,dev/batch-2617-2616,https://github.com/douyo01-byte/openclaw-factory/pull/2340,open,execute_now,open,,open,0,2026-03-14 23:31:36,keep
2580,MotherShip: log cleanup,mothership,dev/mothership-log-clean,https://github.com/douyo01-byte/openclaw-factory/pull/2302,open,execute_now,open,decomposed,open,0,2026-03-14 22:51:52,close
2581,MotherShip: db check,mothership,dev/mothership-db-check,https://github.com/douyo01-byte/openclaw-factory/pull/2305,open,execute_now,open,decomposed,open,0,2026-03-14 22:52:52,close
2582,MotherShip: health CLI,mothership,dev/mothership-health-cli,https://github.com/douyo01-byte/openclaw-factory/pull/2304,open,execute_now,open,decomposed,open,0,2026-03-14 22:53:52,close
2583,MotherShip: watcher monitor,mothership,dev/mothership-watch,https://github.com/douyo01-byte/openclaw-factory/pull/2303,open,execute_now,open,decomposed,open,0,2026-03-14 22:54:52,close
2584,MotherShip: log cleanup,mothership,dev/mothership-log-clean,https://github.com/douyo01-byte/openclaw-factory/pull/2302,open,execute_now,open,decomposed,open,0,2026-03-14 22:55:52,close
2585,MotherShip: db check,mothership,dev/mothership-db-check,https://github.com/douyo01-byte/openclaw-factory/pull/2305,open,execute_now,open,decomposed,open,0,2026-03-14 22:56:52,close
2586,MotherShip: health CLI,mothership,dev/mothership-health-cli,https://github.com/douyo01-byte/openclaw-factory/pull/2304,open,execute_now,open,decomposed,open,0,2026-03-14 22:57:52,close
2587,MotherShip: watcher monitor,mothership,dev/mothership-watch,https://github.com/douyo01-byte/openclaw-factory/pull/2303,open,execute_now,open,decomposed,open,0,2026-03-14 22:58:52,close
2588,MotherShip: log cleanup,mothership,dev/mothership-log-clean,https://github.com/douyo01-byte/openclaw-factory/pull/2302,open,execute_now,open,decomposed,open,0,2026-03-14 23:00:04,close
2589,MotherShip: db check,mothership,dev/mothership-db-check,https://github.com/douyo01-byte/openclaw-factory/pull/2305,open,execute_now,open,decomposed,open,0,2026-03-14 23:01:04,close
2593,MotherShip: health CLI,mothership,dev/mothership-health-cli,https://github.com/douyo01-byte/openclaw-factory/pull/2304,open,execute_now,open,decomposed,open,0,2026-03-14 23:02:04,close
2594,MotherShip: watcher monitor,mothership,dev/mothership-watch,https://github.com/douyo01-byte/openclaw-factory/pull/2303,open,execute_now,open,decomposed,open,0,2026-03-14 23:03:05,close
2595,MotherShip: log cleanup,mothership,dev/mothership-log-clean-b9262e,https://github.com/douyo01-byte/openclaw-factory/pull/2306,open,execute_now,open,decomposed,open,0,2026-03-14 23:03:37,close
2596,MotherShip: db check,mothership,dev/mothership-db-check-cd591a,https://github.com/douyo01-byte/openclaw-factory/pull/2307,open,execute_now,open,decomposed,open,0,2026-03-14 23:04:37,close
2597,MotherShip: log cleanup,mothership,dev/mothership-log-clean-7a4b26,https://github.com/douyo01-byte/openclaw-factory/pull/2308,open,execute_now,open,decomposed,open,0,2026-03-14 23:05:28,close
2603,MotherShip: health CLI,mothership,dev/mothership-health-cli-336d7a,https://github.com/douyo01-byte/openclaw-factory/pull/2316,open,execute_now,open,decomposed,open,0,2026-03-14 23:15:28,close
2604,MotherShip: watcher monitor,mothership,dev/mothership-watch-34de6b,https://github.com/douyo01-byte/openclaw-factory/pull/2324,open,execute_now,open,decomposed,open,0,2026-03-14 23:20:28,close
2609,MotherShip: log cleanup,mothership,dev/mothership-log-clean-fd6d17,https://github.com/douyo01-byte/openclaw-factory/pull/2334,open,execute_now,open,decomposed,open,0,2026-03-14 23:25:28,close
2621,MotherShip: health CLI,mothership,dev/batch-2618-2621,https://github.com/douyo01-byte/openclaw-factory/pull/2341,open,execute_now,open,refined,open,0,2026-03-14 23:36:28,keep
2623,MotherShip: watcher monitor,mothership,dev/batch-2622-2623,https://github.com/douyo01-byte/openclaw-factory/pull/2343,open,execute_now,open,refined,open,0,2026-03-14 23:41:28,keep
2627,MotherShip: log cleanup,mothership,dev/batch-2624-2627,https://github.com/douyo01-byte/openclaw-factory/pull/2344,open,execute_now,open,refined,open,0,2026-03-14 23:46:28,keep
2628,MotherShip: db check,mothership,dev/batch-2628-2628,https://github.com/douyo01-byte/openclaw-factory/pull/2345,open,execute_now,open,raw,open,0,2026-03-14 23:51:28,keep
